9086478,52,16
526,51,16
985,48,5
1413,47,6
2346,43,8
1480220,53,19
405,52,19
384,51,20
1226,48,17
325,47,18
1636,43,20
3975,33,20
1528,29,21
2006,24,20
163422,48,11
525,49,6
883,51,6
504,52,14
455,53,12
424892,53,15
464,52,17
765,51,14
1335,48,3
474,47,16
1355,48,6
5437,33,18
3561,29,7
1304,24,9
1304263,2,20
1874,8,20
3226,18,22
1955,24,20
1495,29,20
1105,33,22
2646,43,19
1296,48,18
864,51,15
305,52,15
235,53,15
455299,53,17
504,52,18
516,51,18
1544,48,7
2365,43,15
1996,39,9
3185,33,14
3693,26,17
1035,24,16
2235,19,18
321738,43,7
2116,51,17
224,52,15
144,48,18
84,53,14
735,47,12
475,48,9
213,51,17
555,52,18
455,53,16
54,51,12
445,52,7
433,53,5
189406,53,18
465,52,14
515,51,18
1435,48,17
445,47,6
1994,43,16
3321448,51,14
1305,48,14
2676,43,14
78,2,10
4800,33,17
3989,24,15
4445811,48,8
2155,43,6
4286,33,17
1698,29,18
875,27,16
1235,24,22
968841,53,19
376,52,15
445,51,20
773,49,16
426,48,13
425,47,18
1194,44,4
473,43,18
4187,33,20
1672,29,19
2175,24,20
2726,18,20
1700649,1,5
232,2,12
323,3,7
1794,8,9
372,9,4
1551267,43,20
4738,47,17
494,48,16
1656,51,14
544,52,13
545,53,7
2505334,1,3
963,1,15
203,2,18
974,8,10
2766,24,3
393,26,9
1407,33,10
314,34,4
474,37,3
5313,48,3
1084,49,14
255,48,5
594,49,6
293,48,16
985,48,13
846,51,9
412,52,8
3175156,53,18
344,52,19
455,51,19
1116,48,17
323,47,19
1545,43,16
3678,33,18
1472,29,19
230140,1,13
193,2,5
2304,19,17
594,24,19
1032,33,18
435,37,13
1555,51,19
114,52,20
124,53,19
40313,2,3
1454,53,14
476,52,14
544,51,20
1435,48,18
585,47,7
7327,33,18
1768,29,16
2206,24,18
2227,19,10
4886,8,14
3165,1,18
354,2,3
651024,1,18
153,2,15
145,8,5
122,9,16
1544,24,15
486,29,20
311,33,16
535,35,16
895,51,7
53,52,12
64,53,7
885950,24,12
1796,29,15
1353,33,17
3767,43,14
1605,47,10
1605,51,14
405,52,12
324,53,10
194116,53,17
404,52,19
425,51,19
1365,48,17
385,47,18
1305,44,20
4707,33,18
3693,24,18
134169,42,5
504,43,13
2046,47,11
444,48,4
1576,51,5
572,52,10
535,53,7
12811,53,13
484,52,18
455,51,11
1476,48,18
405,47,18
1875,43,18
901551,1,15
493,2,12
2996,8,16
213,1,22
373,9,15
483,1,19
684,2,3
513,1,22
314,2,7
552,1,19
1044,1,14
263,9,13
233,2,3
333,8,16
20,1,18
2348,2,9
683,1,18
1264,1,15
382,2,7
1924,2,6
773,9,14
2555,2,15
954,8,3
2253,2,18
373,1,16
924,2,15
2446,2,11
823,2,3
30853,53,15
414,52,15
416,51,16
1414,47,16
1435,43,15
3487,33,5
1358,29,22
1756,24,17
114965,2,3
1434,2,9
833,2,8
1063,2,3
952,2,4
1533,2,3
913,2,8
1744,2,5
1463,2,5
953,2,9
1372,2,3
1974,2,10
923,2,4
824,2,1
1902,2,3
1644,2,5
1354,2,3
1232,2,3
1263,2,5
1533,2,7
1974,2,4
