52711,20,17
52942,21,1
52963,4,14
53384,22,14
53775,23,17
53896,6,5
54708,7,8
55288,27,14
55760,7,12
56061,3,15
56432,30,14
56653,7,8
56884,9,17
57946,6,14
58006,34,11
58397,35,13
58788,36,4
58949,9,13
59150,8,4
59942,39,7
60774,41,2
61175,8,24
61205,7,15
61256,9,2
61457,43,12
62129,7,16
62279,9,17
62901,10,7
63072,47,8
63152,9,17
64174,10,7
64395,11,18
65146,53,1
65267,12,17
65828,13,12
66720,12,5
67302,13,13
70617,20,2
70857,19,3
71709,18,14
71870,21,21
72422,22,17
72472,19,9
73164,21,1
73194,23,11
73936,22,1
74157,24,9
74488,23,14
74708,25,16
75651,25,13
76823,28,11
77275,6,8
78687,30,2
79609,13,1
81352,35,5
82865,38,4
83836,25,5
83938,34,1
84619,35,2
84790,28,5
85281,36,3
86674,33,4
87585,43,14
88207,36,14
88828,37,15
89380,36,16
89691,39,10
90583,41,19
91244,43,10
91275,33,15
91646,44,21
92778,47,19
92869,30,17
93110,48,18
93511,49,18
93862,50,17
93993,28,18
94244,51,20
94915,53,18
96018,24,1
96539,23,17
96941,22,16
97422,21,16
97912,20,16
98304,19,7
98965,2,10
99287,17,14
99377,3,10
100239,15,10
100400,2,13
100851,3,15
100931,25,7
101133,13,4
101413,4,13
101595,12,2
101714,27,1
102086,28,11
102467,6,1
102528,29,1
102949,30,14
103119,9,3
103330,31,18
103752,8,7
104083,7,7
104143,9,15
104505,34,16
104576,6,17
104636,10,13
105207,4,2
105259,36,16
105660,3,6
105901,13,18
106072,38,15
106482,39,15
106963,1,17
107355,15,15
107607,42,5
107887,16,17
108249,17,10
108479,44,16
108870,45,15
108951,18,16
109233,46,14
109323,19,10
109965,20,16
110145,48,10
110376,21,11
110948,22,5
111429,23,5
112040,53,14
112222,24,9
112903,30,20
113044,47,16
113314,26,1
113516,46,11
113826,27,16
113907,45,17
114028,28,3
114429,44,19
114890,29,9
115241,30,1
115373,42,16
116365,40,19
116566,52,2
116856,39,17
116887,33,14
117288,51,17
117430,38,17
117911,35,3
117961,30,2
118363,36,15
118784,35,20
118854,49,3
119616,46,17
119697,38,11
119808,33,18
120029,39,1
120370,53,14
120480,44,12
120641,31,16
120713,40,1
120953,52,10
121034,35,2
121074,30,14
121275,41,1
121486,29,15
121507,51,20
122018,50,17
122439,27,17
122461,40,19
122961,30,1
123342,25,17
123504,45,1
123584,46,3
123705,47,18
124307,23,18
124428,53,17
124688,22,14
124980,45,21
125030,36,20
125632,20,19
125783,32,1
126054,19,17
126134,31,11
126345,43,19
126606,18,1
126676,30,9
126908,42,15
126949,51,2
126999,29,17
127240,33,19
127421,41,18
127932,40,2
128494,39,13
128655,53,18
128736,13,18
128936,25,9
129127,27,14
129258,24,1
129609,11,17
129770,23,10
129790,37,16
129961,26,15
130013,10,1
130223,22,17
130253,53,24
130535,9,17
130786,25,20
130987,35,19
131308,20,19
131438,7,18
131519,34,15
131600,24,18
131981,6,19
132382,18,1
132513,23,22
133064,4,19
133225,16,14
133286,22,20
133667,15,17
133708,30,17
133919,3,18
134089,21,7
134231,29,8
134331,25,13
134542,13,2
134803,20,20
134953,12,10
135275,53,24
135536,19,19
135557,11,8
135627,23,6
136268,51,18
136380,18,20
136570,25,18
136821,50,2
137152,7,13
137183,3,15
137244,24,1
137435,47,5
137485,20,5
137606,6,7
137787,16,20
138138,25,3
138249,23,19
138309,45,17
138420,15,14
138440,47,16
138561,4,3
138962,46,16
139404,45,16
139435,2,15
139535,17,10
139976,23,1
140258,41,16
140498,16,2
140699,12,19
140780,42,9
141112,15,18
141242,41,9
141574,39,19
141693,40,13
141795,19,11
142025,21,15
142106,10,18
142658,38,8
143129,20,17
143240,13,21
144052,7,19
144072,35,15
144103,19,15
144674,6,16
145036,33,15
145076,13,17
145948,4,16
146179,11,16
146660,3,15
147241,2,16
147633,28,21
148195,18,8
148385,8,20
150489,18,3
171189,47,2
223104,8,15
226560,38,1
226810,33,12
227702,33,6
228924,48,11
230737,48,12
233192,33,15
233332,48,14
238410,28,10
238602,3,14
238752,8,7
239353,48,17
239484,38,3
240937,43,17
241979,38,1
242831,43,15
244424,43,12
244655,48,16
246318,23,4
246338,43,16
246389,3,15
247571,33,15
247863,13,8
248334,8,13
249266,18,7
249957,38,13
250859,3,15
251881,28,1
251901,48,3
252873,48,3
253595,28,2
254036,48,15
254679,33,17
256181,48,13
257073,13,7
258355,48,15
260209,43,10
260750,48,4
260841,38,10
260882,33,14
261804,38,1
262735,38,5
264629,8,2
264829,3,16
264860,48,14
265502,23,17
265583,8,8
265753,48,15
266014,28,5
267578,33,15
269120,33,10
269471,28,14
269492,23,1
269673,18,14
270024,38,14
271027,48,15
271198,38,1
271989,48,15
272130,38,8
272881,48,14
273763,48,15
274174,28,13
276098,33,15
276409,18,1
276460,8,12
276510,23,15
276861,48,2
277303,3,1
277443,8,12
277694,33,4
277745,48,14
277876,28,14
279619,8,12
279690,43,15
280571,8,10
280602,43,17
281754,28,5
281785,8,11
281885,23,17
282477,43,7
282778,48,15
283440,28,9
283711,48,1
285814,28,5
287768,28,7
288279,8,3
288560,48,15
289252,38,17
289352,8,12
289454,48,14
289554,28,5
289644,43,16
290136,38,10
290347,48,14
290387,8,11
290448,53,13
290479,28,12
290800,29,10
291070,30,4
291101,38,8
291232,48,14
291753,13,17
291774,3,15
291995,38,2
292086,29,13
292197,48,15
292247,52,16
292508,33,16
292849,28,10
292911,9,15
293081,48,14
293563,4,15
293764,49,12
293924,43,15
294045,8,11
294066,39,16
294777,33,16
294828,3,9
295099,9,14
295209,23,15
295260,48,14
295421,52,17
296153,23,5
296173,8,14
296214,48,15
296796,33,17
296896,24,14
297167,9,15
297378,3,14
297479,49,13
297509,43,9
297580,52,2
297751,35,13
297822,24,3
298073,9,17
298093,8,14
298484,49,2
298665,33,10
298836,23,13
298887,3,17
298978,8,1
299068,53,16
299419,4,16
299930,34,12
300001,38,13
300122,48,7
300923,52,18
301035,33,20
301056,29,7
301187,43,13
301227,8,14
301257,39,10
301468,30,7
301609,49,1
302100,3,14
302671,28,17
303003,45,14
303234,52,17
303444,53,15
303596,39,3
303686,29,14
304148,44,8
304208,19,11
304339,49,13
304650,38,8
304931,53,16
304972,3,18
305102,13,17
305443,43,16
305604,38,15
306366,28,7
306537,38,1
306568,44,18
306588,23,1
306860,30,2
307000,3,10
307051,52,11
307281,53,2
307362,8,10
307473,23,16
307493,48,15
307655,13,12
308096,28,15
308306,3,8
308358,33,19
308439,23,14
308709,49,6
309321,43,8
309371,24,4
310043,13,3
310214,19,15
310264,4,6
310406,38,1
310466,9,16
310507,48,15
310528,33,16
311208,3,17
311400,48,15
311471,8,11
311661,13,13
311732,24,2
311793,43,16
311833,25,12
311934,38,14
312035,33,14
312537,8,14
312798,4,14
312968,52,17
313710,3,7
314211,13,13
314382,53,16
314733,28,19
315185,38,17
315526,37,1
315546,43,6
315857,28,13
316829,48,16
317200,34,15
317391,35,9
317532,51,23
317773,44,5
317874,36,13
318185,38,16
318566,13,10
318586,39,15
318768,48,13
318949,44,18
319059,40,6
319170,45,2
319441,28,6
319492,9,2
319703,3,14
319733,48,15
320034,30,4
320386,23,10
320536,8,14
320607,13,16
320698,52,9
321329,29,2
321410,9,16
321541,40,14
321951,35,16
321973,4,2
322134,39,17
322845,37,21
322906,36,20
322976,3,18
323057,53,15
323158,29,8
323188,33,17
323470,32,18
323641,8,15
323741,47,20
324363,23,2
324593,29,2
324804,24,15
325006,36,23
325036,37,18
325076,44,5
325147,28,2
325188,4,13
325309,38,11
325369,34,6
325641,35,13
325691,39,14
326233,40,9
326664,45,14
326955,53,11
327046,48,14
327506,40,12
327537,44,16
327559,49,13
328210,42,18
328360,20,4
328391,33,18
328753,27,21
329073,26,20
329175,8,13
329225,13,13
329376,2,6
329477,19,2
329717,25,9
329758,52,19
329808,24,14
329879,1,4
330150,9,16
330281,51,19
330372,41,21
330473,46,23
330613,33,16
330675,42,7
330735,28,14
330796,3,17
330996,34,4
331228,29,4
331258,4,17
331338,8,14
331369,44,16
331720,30,2
331782,45,7
332263,7,19
332443,35,13
332715,47,19
332825,6,22
332846,30,6
332906,3,4
333027,52,10
333088,48,14
333208,29,17
333360,45,16
333420,25,7
333501,12,20
333521,34,12
333592,28,18
333893,33,17
333944,4,15
334095,43,19
334115,26,2
334196,32,21
334537,31,22
334658,25,9
334769,24,11
334850,3,18
335241,2,20
335562,23,18
335633,1,15
335673,32,17
336145,9,17
336285,42,17
336346,38,15
336427,29,14
336457,23,1
336538,52,18
336589,48,18
336610,43,17
336750,39,15
336851,47,21
336891,35,10
337022,46,20
337063,51,15
337465,23,3
337766,18,3
338227,22,20
338377,30,14
338448,17,20
338479,34,15
338660,21,21
338810,29,17
338912,16,5
339012,52,9
339193,43,18
339244,32,20
339324,37,14
339465,42,18
339506,28,15
339717,36,22
339798,41,18
340769,32,21
340900,41,19
341252,36,2
341483,42,18
341684,34,14
341765,46,20
341835,43,17
341946,53,6
342096,48,12
342127,16,22
342288,44,17
342409,21,20
342490,36,19
342630,49,4
342651,33,1
342731,7,20
342802,37,19
342964,12,17
343004,8,14
343024,2,21
343046,45,8
343066,23,4
343267,3,18
343317,13,16
343538,9,14
343579,52,18
343920,40,6
344121,10,4
344492,51,23
344512,34,14
345374,28,6
345395,4,20
345446,44,19
345596,10,15
345697,45,15
345738,3,17
346039,19,9
346200,23,15
346310,1,7
346351,38,18
346432,8,17
346473,29,15
346523,22,16
346644,37,18
346675,7,17
346695,11,17
346736,30,11
346967,36,21
347028,16,12
347078,6,22
347229,33,16
347370,46,16
347401,47,13
347681,29,12
347812,48,18
347973,42,19
348084,11,99
348114,34,14
348195,28,17
348326,41,17
348517,3,19
348548,27,20
348779,37,19
348969,17,17
349031,4,11
349161,12,19
349252,49,13
349403,13,16
349464,51,20
349554,39,15
349735,50,6
349836,19,3
350047,40,7
