649435,52,6
28512,33,18
3697,42,18
335,43,7
423,44,19
1075,47,18
185,48,19
935,50,3
654,51,17
464,52,19
505,53,15
694763,53,13
304,52,16
405,51,15
1225,48,15
1576,44,15
294,43,15
385,42,9
2565,35,16
765,33,17
81147,35,18
64,33,13
355,44,4
263,48,11
185,51,5
143,50,16
95,52,11
3119899,53,17
354,52,17
335,51,19
1015,48,15
1285,44,10
344,43,3
1395,39,18
542345,52,15
475,51,5
1433,48,8
6159,39,15
22948,53,3
463,52,19
556,51,19
1735,48,6
7688,33,9
4152188,52,21
1025,50,18
1405,52,19
495,51,16
1445,48,7
854,48,18
935,48,18
12843,47,15
835,47,19
12702,44,14
2656,42,8
354,39,4
2024,39,16
195,35,7
3485,33,16
253051,33,3
1024,35,13
1766,39,6
2245,44,15
3246,51,12
485,52,14
434,53,14
6217180,53,17
655,52,18
405,51,14
1785,47,12
1075,44,14
304,43,13
1666,39,13
726340,35,18
135,37,19
384,43,8
284,47,12
284,51,15
105,52,18
21,53,15
3597962,33,17
85,34,18
174,37,19
305,48,16
565,50,17
84,51,21
64,52,19
66,53,20
2368266,43,17
2096,47,18
523,48,18
1587,51,16
554,52,17
444,53,14
2617,34,20
185,37,14
183,39,21
266,43,14
304,47,17
65,48,10
234,51,10
73,52,13
96,53,18
1279099,33,10
2136,39,7
1104,42,3
354,43,14
1495,47,13
405,48,16
1077,51,9
381,52,12
365,53,4
1632948,33,14
1986,39,18
1226,43,16
335,44,18
984,47,17
294,48,17
985,51,15
335,52,18
295,53,16
1709300,33,4
1313,37,8
636,39,12
1213,43,14
1245,47,4
324,48,3
954,51,8
343,52,11
244,53,6
694836,33,17
1868,37,16
2694,43,17
2266,48,15
1425,51,15
435,52,10
424,53,5
135622,33,8
3746,43,17
1495,47,19
1515,51,20
405,52,18
334,53,14
181822,37,13
1827,42,9
754,44,16
1114,47,3
353,48,9
1144,51,6
374,52,15
296,53,4
404335,33,16
1784,37,5
2526,43,4
1805,47,8
322,48,16
106245,33,4
3746,43,4
1674,47,7
374,48,10
1166,51,7
383,52,6
364,53,8
18412,33,9
2875,51,15
135,52,4
1063,51,4
995,53,14
304,52,17
315,51,7
863,52,5
304,48,16
386,47,14
1544,43,15
1425,39,18
1987,34,8
423,33,15
11017,33,14
4537,43,16
2167,48,15
1365,51,14
925,53,14
217153,53,17
315,52,19
305,51,16
1035,48,17
1575,43,19
3117,33,16
44918,33,14
2005,39,16
2927,48,19
975,51,17
315,52,18
303,53,16
125147,33,17
3147,42,18
255,43,17
405,44,20
954,47,13
1385,51,15
655,53,15
272995,39,16
1967,43,12
1934,48,17
1076,51,16
424,52,18
356,53,17
3956,53,15
345,52,18
384,51,16
1155,48,15
3147,39,17
121798,33,17
1615,37,15
2066,42,15
314,43,3
1745,47,16
343,48,15
1246,51,9
384,52,14
385,53,15
29933,33,7
1743,37,8
2565,43,5
1746,47,11
504,48,17
1206,51,3
483,52,16
435,53,7
425125,33,19
524,37,14
305,39,19
1064,47,14
126,48,15
184,49,17
235,51,15
254,53,8
66456,49,7
2897,43,15
394,42,15
1335,39,17
2686,33,18
53429,33,11
1415,37,13
1706,42,4
382,43,4
1336,47,7
383,48,14
1025,51,11
355,52,11
304,53,5
142592,52,16
385,51,11
805,49,15
473,48,16
4599,37,14
1665,33,16
56027,33,13
2045,37,10
2857,43,15
1774,47,15
496,48,11
1446,51,11
504,52,18
444,53,14
293018,39,3
1625,43,12
1495,47,15
344,48,16
954,34,4
145,51,15
354,52,14
384,53,13
1265,39,4
1715,43,8
2345,48,13
1776,52,15
514,53,5
122045,33,13
1215,39,14
1495,47,3
224,48,16
574,51,14
205,52,15
233,53,15
16279,33,16
1756,42,16
164,43,16
225,44,19
534,47,15
195,48,11
565,51,13
234,52,18
135,53,15
127098,33,16
1515,37,16
704,39,14
1416,43,16
376,44,8
1083,47,13
394,48,18
1085,51,15
365,52,15
304,53,16
187238,53,15
384,52,17
415,51,18
1295,48,17
355,47,15
1685,43,19
1636,39,22
2546,33,20
1505,53,16
354,52,20
456,51,20
474,50,21
514,49,18
625,48,16
61825,33,7
4896,47,8
403,48,14
1386,52,13
334,53,7
17919,33,15
85,34,17
574,43,10
85,44,9
263,48,17
215,51,17
64,52,18
84,53,18
38054,37,20
2035,43,19
1466,47,19
234,48,15
1135,51,18
315,52,14
364,53,17
132448,52,3
434,51,7
1474,48,17
475,47,7
2255,42,20
2206,37,21
1805,33,18
159157,33,17
1415,37,16
2075,43,16
1445,47,15
305,48,14
1085,51,16
374,52,17
315,53,13
67265,53,13
495,52,14
495,51,15
1875,48,16
474,47,4
1746,44,15
544,43,6
2155,39,18
1165,37,12
2456,33,15
118196,33,13
1475,37,9
714,39,13
1405,43,13
385,44,13
1075,47,6
323,48,7
1105,51,6
373,52,14
325,53,10
111494,33,9
2734,39,8
1734,43,11
1846,47,10
1785,51,10
515,52,15
405,53,14
13690,53,15
715,52,16
875,51,19
165,37,15
1435,48,18
2806,44,4
27092,43,11
2446,48,15
1485,51,5
484,52,15
545,53,5
14288,33,8
1725,37,14
854,39,13
1535,43,6
2225,48,15
1245,51,13
465,52,5
363,53,7
40794,33,14
1045,35,5
3978,43,4
2203,48,7
103,51,5
895,52,14
20,51,14
868,51,3
274,52,15
425,53,14
43166,53,13
365,52,18
364,51,18
1115,48,18
1896,43,15
364,42,15
3597,33,10
111619,34,6
3135,33,4
1945,48,6
1164,51,3
553,53,14
355,43,15
555,51,10
1245,48,13
1185,51,11
775,53,12
114,43,14
2286,37,3
1154,43,16
1595,47,13
1616,51,14
394,52,16
415,53,13
53042,51,19
1645,47,14
1675,43,17
2386,37,4
1725,33,18
579480,53,14
1166,51,19
1597,48,6
511,47,14
1566,44,16
494,43,14
3817,35,15
1075,33,16
459,53,15
375,52,18
405,51,18
1236,48,12
393,47,15
1576,43,17
1536,39,16
308,13,14
416,37,15
1530,9,17
55,33,17
448,8,18
2225,26,15
766,24,14
433,1,20
1525,19,5
3895,9,16
414,8,16
25468,8,6
4315,19,3
2835,26,10
374,27,7
844,29,14
1550,33,7
1604,37,14
2386,43,11
1585,47,15
385,48,15
1215,51,15
405,52,17
41221,53,14
395,52,18
445,51,19
1385,48,10
2056,43,4
423,42,17
1255,39,19
2353,8,14
223,33,17
251,9,10
144,32,8
1201,29,15
3115,19,10
1496,18,19
1686,26,14
484,27,15
765,29,8
1084,8,19
699,33,16
2756,39,17
1355,42,15
395,43,13
573,8,4
1613,48,15
1295,51,9
474,52,5
403,53,9
158,18,3
3347,26,12
393,27,13
2449,33,9
1705,37,13
885,39,16
1545,43,15
475,44,18
1205,47,17
385,48,17
1235,51,17
434,52,17
376,53,15
14410,1,11
2385,8,4
483,9,11
3505,19,12
1775,24,5
474,13,4
1374,29,3
1417,33,11
3557,43,13
384,44,17
1066,47,12
364,48,12
1085,51,8
373,52,15
335,53,14
14875,19,7
3606,27,8
3646,35,5
913,37,4
4857,48,9
1465,51,3
7263,53,4
284,52,18
435,51,19
1305,48,17
2065,43,18
375,42,12
3887,33,18
1594,29,13
5741,2,17
454,1,16
63,13,16
1705,9,6
493,8,18
2535,2,20
413,1,6
19668,39,17
764,37,9
805,35,5
843,33,10
1494,29,19
3927,2,17
4496,8,20
503,9,3
442,8,17
1475,2,20
413,1,19
3236,8,9
412,9,3
1414,26,8
1494,29,17
1045,19,5
738,33,14
716,1,17
1239,37,16
105,26,10
1175,29,5
1556,43,15
524,44,19
1326,47,8
524,48,18
26,8,15
178,39,13
294,49,17
212,9,14
293,13,14
331,51,14
474,43,9
21,52,16
457,53,16
1625,48,11
1325,51,14
425,52,14
505,53,8
1426,25,10
595,26,17
504,25,8
454,26,14
4118,33,17
635,34,15
735,37,15
1085,39,18
2256,43,18
6262,47,11
655,48,8
1695,51,14
616,52,15
483,53,15
35859,51,7
64,52,6
216,48,3
601,51,9
63,52,9
1842,8,5
2353,1,16
125734,24,9
774,26,17
1215,29,17
1497,33,8
844,35,17
1575,39,16
1466,43,17
434,44,18
1125,47,18
108,8,14
267,48,15
1155,51,13
426,52,17
383,53,16
